name;link;salary_min;salary_max;salary_valut
Senior Data Scientist (Recommender Systems);https://arkhangelsk.hh.ru/vacancy/46476387?from=vacancy_search_list&query=Python;220000;300000;руб.
Senior Python developer;https://arkhangelsk.hh.ru/vacancy/46911211?from=vacancy_search_list&query=Python;0;5500;USD
Data Analyst;https://arkhangelsk.hh.ru/vacancy/46870106?from=vacancy_search_list&query=Python;4000;6500;USD
Data science analytics;https://arkhangelsk.hh.ru/vacancy/46917676?from=vacancy_search_list&query=Python;150000;0;руб.
Middle-backend Python разработчик / программист;https://arkhangelsk.hh.ru/vacancy/46861261?from=vacancy_search_list&query=Python;180000;200000;руб.
Machine Learning Engineer (команда Поиска);https://arkhangelsk.hh.ru/vacancy/46048820?from=vacancy_search_list&query=Python;0;0;0
Python Developer;https://arkhangelsk.hh.ru/vacancy/46061485?from=vacancy_search_list&query=Python;0;0;0
Python Developer;https://arkhangelsk.hh.ru/vacancy/45276813?from=vacancy_search_list&query=Python;0;0;0
Python Developer;https://arkhangelsk.hh.ru/vacancy/46826981?from=vacancy_search_list&query=Python;0;0;0
Программист-разработчик AI / Data scientist / NLP Developer (Обработка естественного языка);https://arkhangelsk.hh.ru/vacancy/46085998?from=vacancy_search_list&query=Python;100000;150000;руб.
Python developer;https://arkhangelsk.hh.ru/vacancy/46893200?from=vacancy_search_list&query=Python;0;0;0
Senior ML engineer (ML/DS инженер);https://arkhangelsk.hh.ru/vacancy/46344625?from=vacancy_search_list&query=Python;0;0;0
Software Engineer in Data Engineering Team (Ruby+Python, С++);https://arkhangelsk.hh.ru/vacancy/46551406?from=vacancy_search_list&query=Python;0;0;0
Lead Data Engineer (DWH Developer);https://arkhangelsk.hh.ru/vacancy/46307223?from=vacancy_search_list&query=Python;0;0;0
Junior Python developer;https://arkhangelsk.hh.ru/vacancy/46826445?from=vacancy_search_list&query=Python;40000;40000;руб.
Программист Python;https://arkhangelsk.hh.ru/vacancy/46207091?from=vacancy_search_list&query=Python;20000;20000;руб.
Junior python developer в научный отдел;https://arkhangelsk.hh.ru/vacancy/46912526?from=vacancy_search_list&query=Python;0;0;0
Junior Python Developer (Начинающий разработчик Python);https://arkhangelsk.hh.ru/vacancy/46525324?from=vacancy_search_list&query=Python;30000;60000;руб.
Стажер-разработчик Python;https://arkhangelsk.hh.ru/vacancy/46895300?from=vacancy_search_list&query=Python;0;0;0
Python developer / data engineer (Jun->Mid);https://arkhangelsk.hh.ru/vacancy/46392030?from=vacancy_search_list&query=Python;120000;150000;руб.
Разработчик Python \ Python Developer;https://arkhangelsk.hh.ru/vacancy/46563698?from=vacancy_search_list&query=Python;150000;0;руб.
Python разработчик (senior) (backend);https://arkhangelsk.hh.ru/vacancy/43941903?from=vacancy_search_list&query=Python;0;500000;руб.
Junior Python developer;https://arkhangelsk.hh.ru/vacancy/46856909?from=vacancy_search_list&query=Python;15000;45000;грн.
Python developer (Middle+/Senior);https://arkhangelsk.hh.ru/vacancy/46417735?from=vacancy_search_list&query=Python;250000;400000;руб.
Разработчик Python;https://arkhangelsk.hh.ru/vacancy/46100136?from=vacancy_search_list&query=Python;130000;200000;руб.
Junior backend developer python;https://arkhangelsk.hh.ru/vacancy/46883147?from=vacancy_search_list&query=Python;0;0;0
Middle Backend Программист (Python);https://arkhangelsk.hh.ru/vacancy/46870202?from=vacancy_search_list&query=Python;3000;4000;USD
Разработчик Python;https://arkhangelsk.hh.ru/vacancy/46717683?from=vacancy_search_list&query=Python;180000;0;руб.
Python разработчик;https://arkhangelsk.hh.ru/vacancy/46891293?from=vacancy_search_list&query=Python;60000;200000;руб.
Python разработчик;https://arkhangelsk.hh.ru/vacancy/46314277?from=vacancy_search_list&query=Python;250000;0;руб.
Python developer;https://arkhangelsk.hh.ru/vacancy/46856534?from=vacancy_search_list&query=Python;60000;100000;грн.
Senior QA Automation Engineer (Python);https://arkhangelsk.hh.ru/vacancy/43394109?from=vacancy_search_list&query=Python;300000;0;руб.
Python Backend Developer (FastAPI);https://arkhangelsk.hh.ru/vacancy/46451141?from=vacancy_search_list&query=Python;100000;250000;руб.
Системный программист C/C++ - Python;https://arkhangelsk.hh.ru/vacancy/45728641?from=vacancy_search_list&query=Python;200000;300000;руб.
Разработчик Python;https://arkhangelsk.hh.ru/vacancy/44936197?from=vacancy_search_list&query=Python;120000;200000;руб.
Middle QA Automation Engineer (Python);https://arkhangelsk.hh.ru/vacancy/43394113?from=vacancy_search_list&query=Python;180000;250000;руб.
Middle QA Automation Engineer (Python);https://arkhangelsk.hh.ru/vacancy/46339361?from=vacancy_search_list&query=Python;180000;250000;руб.
